URL,Last crawled
https://www.nailartai.app/summer-nail-art/beach-summer-white-blue-waves-gold-summer-nails-fc874775,2025-10-19
https://www.nailartai.app/holiday/photo-real-salon-holiday-nails-9874c32b,2025-10-19
https://www.nailartai.app/korean/photo-real-salon-korean-nails-ab613cf9,2025-10-18
https://www.nailartai.app/try-on?design=34393c16-42c7-4c28-8d75-79fb8824fe1d,2025-10-18
https://www.nailartai.app/nail-art/square-or-squoval,2025-10-18
https://www.nailartai.app/try-on?design=e6384878-5e89-48ea-8fa0-b3cdf1564894,2025-10-18
"https://www.nailartai.app/nail-art/any-(almond,-square,-stiletto)",2025-10-18
https://www.nailartai.app/3d/photo-real-salon-3d-nails-c69a77c4,2025-10-18
https://www.nailartai.app/foil/sophisticated-photo-real-salon-foil-nails-9200518d,2025-10-18
https://www.nailartai.app/prom/photo-real-salon-prom-nails-41256384,2025-10-18
"https://www.nailartai.app/nail-art/almond,-square,-oval",2025-10-18
https://www.nailartai.app/pink/photo-real-salon-pink-nails-0ee617a3,2025-10-18
https://www.nailartai.app/blue/navy-blue-gold-foil-blue-nails-0bd14300,2025-10-18
https://www.nailartai.app/embellished/stunning-photo-real-salon-embellished-nails-057cd907,2025-10-18
https://www.nailartai.app/bohemian/photo-real-salon-bohemian-nails-f6ab709f,2025-10-18
https://www.nailartai.app/cocktail/photo-real-salon-cocktail-nails-7f2b8e67,2025-10-18
https://www.nailartai.app/winter/photo-real-salon-winter-nails-35a16240,2025-10-18
https://www.nailartai.app/3d/photo-real-salon-3d-nails-b844bab6,2025-10-18
https://www.nailartai.app/holographic/photo-real-salon-holographic-nails-5736b0b0,2025-10-18
https://www.nailartai.app/holiday/photo-real-salon-holiday-nails-4935b509,2025-10-18
https://www.nailartai.app/stripes/photo-real-salon-stripes-nails-357f80ae,2025-10-18
https://www.nailartai.app/stripes/photo-real-salon-stripes-nails-f35e242d,2025-10-18
